Time,X,Y,InOpen,InClosed
8.84,-0.43148,-3.93614,0,0
8.88,-0.444818,-3.9106,0,0
8.92,-0.452001,-3.90667,0,0
8.96,-0.453154,-3.90166,0,0
9,-0.448622,-3.89006,0,0
9.04,-0.441914,-3.89267,0,0
9.08,-0.43445,-3.89588,0,0
9.12,-0.434,-3.92005,0,0
9.16,-0.428949,-3.93497,0,0
9.2,-0.417896,-3.93366,0,0
9.24,-0.410702,-3.93991,0,0
9.28,-0.405514,-3.94074,0,0
9.32,-0.411533,-3.95517,0,0
9.36,-0.405947,-3.95635,0,0
9.4,-0.402664,-3.94723,0,0
9.44,-0.403847,-3.94658,0,0
9.48,-0.406455,-3.95048,0,0
9.52,-0.411862,-3.94293,0,0
9.56,-0.415475,-3.93846,0,0
9.6,-0.424621,-3.94908,0,0
9.64,-0.420336,-3.93742,0,0
9.68,-0.418059,-3.94398,0,0
9.72,-0.421865,-3.93929,0,0
9.76,-0.414154,-3.9376,0,0
9.8,-0.419849,-3.92018,0,0
9.84,-0.418029,-3.93541,0,0
9.88,-0.418159,-3.93262,0,0
9.92,-0.430964,-3.92081,0,0
9.96,-0.430724,-3.9133,0,0
10,-0.437511,-3.89036,0,0
10.04,-0.418591,-3.91233,0,0
10.08,-0.449752,-3.86509,0,0
10.12,-0.443769,-3.86545,0,0
10.16,-0.726434,-3.30893,0,0
10.2,-0.819056,-3.06247,0,0
10.24,-0.591935,-3.38679,0,0
10.28,-0.546719,-3.4044,0,0
10.32,-0.497088,-3.44275,0,0
10.36,-0.466314,-3.47651,0,0
10.4,-0.411106,-3.50725,0,0
10.44,-0.743689,-2.92938,0,0
10.48,-0.460499,-3.37741,0,0
10.52,-0.426214,-3.42386,0,0
10.56,-0.382959,-3.519,0,0
10.6,-0.746005,-2.93308,0,0
10.64,-0.45113,-3.41424,0,0
10.68,-0.409089,-3.48523,0,0
10.72,-0.377721,-3.54267,0,0
10.76,-0.35406,-3.60253,0,0
10.8,-0.325552,-3.63893,0,0
10.84,-0.313459,-3.66282,0,0
10.88,-0.311094,-3.68799,0,0
10.92,-0.681883,-3.06511,0,0
10.96,-0.428476,-3.48532,0,0
11,-0.41194,-3.51211,0,0
11.04,-0.393508,-3.56244,0,0
11.08,-0.760856,-2.96236,0,0
11.12,-0.483861,-3.43934,0,0
11.16,-0.446695,-3.48059,0,0
11.2,-0.398922,-3.53212,0,0
11.24,-0.362612,-3.57037,0,0
11.28,-0.338002,-3.58333,0,0
11.32,-0.308888,-3.5693,0,0
11.36,-0.703484,-2.92979,0,0
11.4,-0.412141,-3.35774,0,0
11.44,-0.379333,-3.35912,0,0
11.48,-0.780232,-2.75836,0,0
11.52,-0.43548,-3.23308,0,0
11.56,-0.382118,-3.29936,0,0
11.6,-0.324979,-3.38255,0,0
11.64,-0.280191,-3.41976,0,0
11.68,-0.255881,-3.45983,0,0
11.72,-0.234301,-3.46925,0,0
11.76,-0.234628,-3.44855,0,0
11.8,-0.242915,-3.43317,0,0
11.84,-0.259167,-3.39748,0,0
